,index,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),High_Severity(ha),TSLF
561,561,BUTTE FIRE,39.198,-121.826,2018,7,414.81,38.16,0
1329,1329,BUTTERFIELD,32.941,-116.431,1995,6,2900.25,180.54,0
473,473,BUTTS,38.698,-122.443,2014,7,1727.82,93.51,0
156,156,BYERS,40.342,-120.458,1996,7,477.0,157.68,1
1196,1196,CABANZO,33.867,-116.633,1985,6,5699.88,238.86,0
224,224,CABBAGE,39.455,-122.851,2000,4,610.56,62.19,2
1035,1035,CABIN,36.26,-118.555,2015,7,2924.46,619.56,0
1631,1631,CABIN,34.267,-117.843,2015,8,616.77,89.37,4
1490,1490,CACHUMA,34.724,-119.901,2004,5,432.18,118.8,1
1285,1285,CACTUS,33.685,-116.912,1992,5,495.45,0.27,2
1429,1429,CALABASAS,34.19,-118.686,2000,6,432.54,0.0,1
1375,1375,CALABASAS,34.054,-118.717,1996,10,3219.66,425.97,0
288,288,CALAVERAS COMPLEX,37.917,-120.674,2004,8,1490.13,130.95,0
599,599,CALDWELL,41.73458816,-121.4543373,2020,7,32816.34,3231.27,0
1087,1087,CALDWELL,35.765,-118.381,2017,9,615.06,18.72,0
1165,1165,CALICO,36.009,-116.532,2006,7,3752.55,0.0,0
887,887,CALIENTE,35.311,-118.665,2003,6,503.82,0.09,0
1301,1301,CALIFORNIA,33.636,-117.027,1993,10,9672.48,421.56,0
729,729,CALL BOX,35.57,-118.59,1992,5,651.24,0.18,0
700,700,CAMP,35.278,-120.397,1988,7,2274.3,1057.14,0
578,578,CAMP,39.748,-121.565,2018,11,61971.21,15424.92,7
1042,1042,CAMP ROBERTS,35.744,-120.802,2016,5,1785.87,24.3,0
110,110,CAMPBELL,41.184,-121.31,1990,8,1943.82,1397.79,0
103,103,CAMPBELL,40.041,-121.824,1990,8,51906.78,7349.67,0
876,876,CANNON,38.488,-119.464,2002,6,10159.74,3666.78,1
280,280,CANOE,40.259,-123.918,2003,9,4403.43,439.74,0
794,794,CANYON,35.435,-118.761,1996,6,1409.58,174.33,0
1466,1466,CANYON,33.802,-116.88,2003,7,1790.46,63.18,0
934,934,CANYON,37.36,-121.345,2006,7,14911.92,1292.4,0
216,216,CANYON,40.461,-122.408,1999,9,1046.52,17.01,0
1657,1657,CANYON,33.861,-117.66,2017,9,1110.33,33.84,0
996,996,CANYON,35.554,-118.542,2010,9,4475.52,414.54,8
1647,1647,CANYON,34.597,-120.584,2016,9,4697.01,619.29,7
1173,1173,CANYON,35.016,-118.395,2011,9,5950.62,1227.6,0
1552,1552,CANYON,34.053,-118.678,2007,10,2237.13,18.63,0
1381,1381,CANYON 2,34.195,-117.908,1997,7,2093.58,48.6,1
1660,1660,CANYON 2,33.823,-117.734,2017,10,3681.9,10.89,2
360,360,CANYON COMPLEX (BEAR),39.845,-121.381,2008,6,614.43,14.94,0
359,359,CANYON COMPLEX (COLD),39.835,-120.807,2008,6,2408.13,1550.52,0
356,356,CANYON COMPLEX (FOUR MILE),39.755,-121.339,2008,6,1162.62,109.62,0
400,400,CANYON COMPLEX (FRIEND-DARNELL),39.632,-121.312,2008,7,1687.41,736.38,0
358,358,CANYON COMPLEX (LITTLE),39.765,-121.248,2008,6,654.66,24.57,0
355,355,CANYON COMPLEX (SCOTCH),39.722,-121.191,2008,6,10689.66,2160.0,0
589,589,CAPLES,38.706,-120.16,2019,10,1405.8,469.89,0
1216,1216,CAPTAIN,32.948,-116.747,1986,7,738.36,0.63,0
1276,1276,CARBON CANYON FIRE,33.967,-117.789,1990,6,2013.12,308.97,0
1626,1626,CARL,33.431,-117.474,2015,4,1285.29,1.35,0
1127,1127,CARMEL,36.41717633,-121.6542699,2020,8,2823.3,436.32,0
916,916,CARO,35.608,-119.837,2005,7,532.35,0.0,0
564,564,CARR,40.715,-122.593,2018,7,93175.11,39771.18,0
1016,1016,CARSTENS,37.544,-119.873,2013,6,701.64,334.71,1
1010,1010,CASCADE,37.777,-119.675,2012,6,657.54,39.42,1
552,552,CASCADE,39.359,-121.375,2017,10,6538.05,474.57,0
671,671,CASCADE CR,37.757,-119.715,1986,7,836.55,39.96,0
687,687,CASE,36.41,-118.794,1987,8,2009.25,638.82,0
1294,1294,CASMALIA,34.845,-120.563,1993,6,351.27,28.26,1
1132,1132,CASTLE,36.21697263,-118.5458922,2020,8,68846.58,30531.87,0
1681,1681,CAVE,34.489,-119.768,2019,11,1111.41,128.52,6
542,542,CEDAR,41.935,-123.325,2017,8,4353.12,1425.06,0
1052,1052,CEDAR,35.791,-118.571,2016,8,11813.4,7104.33,0
1474,1474,CEDAR,32.939,-116.766,2003,10,108600.03,32405.22,0
